title,organizer,status,location,event_mode,start_date,end_date,registration_deadline,team_size_min,team_size_max,prize,prize_amount,currency,tags,source_url,source_website,scraped_at,id,event_name,college_name,city,state,country,start_date_formatted,category,eligible_departments,registration_fee,registration_url,official_website_url,brochure_url,organizer_email,contact_details,venue_address,about_event,events_summary,certificates_provided,event_url
INNOVYXA 2K26,JP College of Engineering,Upcoming,"Tenkasi, Tamil Nadu",Offline,2026-09-18,N/A,N/A,N/A,N/A,"PRIZE AMOUNT: ₹1,00,000*",100000.0,INR,"AI Hackathon, CSE, AIDS, IT, MCA",https://www.knowafest.com/explore/events/2026/09/0224-innovyxa-2k26-jp-college-engineering-ai-hackathon-tenkasi,knowafest.com,2026-09-14T15:02:09Z,11,INNOVYXA 2K26,JP College of Engineering,Tenkasi,Tamil Nadu,India,18th September 2026,AI Hackathon,"CSE, AIDS, IT, MCA",N/A,https://shorturl.at/ckJBS,http://jpcoe.ac.in/,N/A,jpinnovyxa@gmail.com,"Dr.D.Meenakshi

9047493349",N/A,"🚀🔥 INNOVYXA 2K26 – AI HACKATHON 🔥🚀

The Department of Computer Science and Engineering, J.P. College of Engineering, in collaboration with YAAR INNOVATION LLP, proudly presents INNOVYXA 2K26 – AI Hackathon! 🤖💡

🏆 TOTAL PRIZE AMOUNT: ₹1,00,000*

🥇 1st Prize – ₹13,000 + Internship

🥈 2nd Prize – ₹7,000 + Internship

🥉 3rd Prize – ₹5,000 + Internship

🎁 FREE INTERNSHIP IN AN AI STARTUP COMPANY FOR WINNERS!

📅 Date: 18 September 2026

⏰ Time: 9:00 AM

📍 Venue: Bertram Hall

💰 Entry Fee: ₹250 per head

📝 Last Date for Registration: 16 September 2026

✨ Turn your ideas into impact!

Bring your innovative ideas, coding skills and AI creativity to compete, collaborate and win big! 🚀

🗓️ Last Date for Registration: September 16, 2026

🎓 E-Certificate will be provided to all participants

🍴 Refreshments & Lunch will be provided

📲 Register Now!

https://shorturl.at/ckJBS

📞 Contact: 9047493349

📧 jpinnovyxa@gmail.com",Hackathon,Certificates will be provided to Winners,https://www.knowafest.com/explore/events/2026/09/0224-innovyxa-2k26-jp-college-engineering-ai-hackathon-tenkasi
DELULU TO DEPLOY 2026,St Michael College of  Engineering and Technology,Upcoming,"Kalayarkoil, Tamil Nadu",Offline,2026-09-18,2026-09-19,2026-09-10,N/A,N/A,N/A,N/A,N/A,"Hackathon, CSE",https://www.knowafest.com/explore/events/2026/09/0702-delulu-to-deploy-st-michael-college-engineering-technology-hackathon-kalayarkoil,knowafest.com,2026-09-14T15:02:10Z,12,DELULU TO DEPLOY 2026,St Michael College of  Engineering and Technology,Kalayarkoil,Tamil Nadu,India,18th - 19th September 2026,Hackathon,CSE,Per head - 450rs,https://delulu2deploy.vercel.app/#register,https://delulu2deploy.vercel.app,N/A,delulu2deploy24@gmail.com,"Vignesh K

9597801711

Munish Kumar

9361224959",St. Santhiagappar Nagar Kalayar koil - 630 551 Sivagangai district Tamil Nadu India,"DELULU 2 DEPLOY is a 24-hour innovation-driven hackathon designed to transform bold ideas into real-world, deployable solutions. The event brings together passionate students, developers, designers, and technology enthusiasts to collaborate, innovate, and solve challenging problems using emerging technologies.

Participants will work in teams to identify problems, develop innovative solutions, build working prototypes, and present their projects before a panel of judges. The hackathon encourages practical implementation, creative thinking, teamwork, and rapid development under time constraints.

With a strong focus on Artificial Intelligence, Machine Learning, Deep Learning, Cybersecurity, and emerging technologies, DELULU 2 DEPLOY provides an exciting platform for participants to experiment with ideas that may seem ambitious at first—but can become meaningful solutions through technology and execution.

The 24-hour journey will include problem-solving, ideation, development, mentoring, technical evaluation, and final project demonstrations. Participants will have the opportunity to showcase their technical skills, learn from fellow innovators, receive expert guidance, and compete for exciting prizes and recognition.

Imagine. Build. Defend. Deploy.

DELULU 2 DEPLOY is more than a hackathon—it is a platform where imagination meets engineering and ideas move from concept to deployment.","1. Registration Check & Seat Allotment

2. Chairman & CEO & Principal Address

3. Statement Reveal

4. Statement Selection and Statements Collection

5. Refreshment

6. Lunch

7. Evaluation I

8. Tea Break

9. Implementation Plan

10. Games

11. Frontend Deployment (GitHub Push)

12. Dinner

13. Games

14. Sprint 1

15. Refreshment & Games

16. Deployment Sprint 2

17. Morning Freshup

18. Breakfast

19. Final Evaluation

20. Result Announcement and prize Distribution

21. Dispurse",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/0702-delulu-to-deploy-st-michael-college-engineering-technology-hackathon-kalayarkoil
AI - Innovathon 2026,Jerusalem College of Engineering,Upcoming,"Chennai, Tamil Nadu",Offline,2026-09-18,N/A,2026-09-16,2,4,N/A,N/A,N/A,"Hackathon, CSE, ECE, IT, EEE",https://www.knowafest.com/explore/events/2026/09/1116-ai-innovathon-2026-jerusalem-college-engineering-hackathon-chennai,knowafest.com,2026-09-14T15:02:10Z,13,AI - Innovathon 2026,Jerusalem College of Engineering,Chennai,Tamil Nadu,India,18th September 2026,Hackathon,"CSE, ECE, IT, EEE","The registration fee is ₹400 per team, payable via UPI through the official Google Form.",https://docs.google.com/forms/d/e/1FAIpQLSdEVvvUtUXI0UdSHCn3le3krcrjkLN6YzGCNlaYpgZgqC8xGA/viewform,https://ai-innovathon.vercel.app/,N/A,innocent.devil8970@gmail.com,"Balamurugan

+91 73586 39093",N/A,"READY TO IGNITE YOUR NEXT AI-POWERED IDEA?

REGISTER NOW AND LET YOUR INOVATIVE THOUGHT TAKE FLIGHT!

REGISTER HERE

https://docs.google.com/forms/d/e/1FAIpQLSdEVvvUtUXI0UdSHCn3le3krcrjkLN6YzGCNlaYpgZgqC8xGA/viewform

The Department of Artificial Intelligence and Machine Learning proudly presents

AI INOVATHON 2026

IMAGINE • INNOVATE • INTELLIGENCE

An electrifying Inter-Collegiate AI Hackathon where artificial intelligence, creativity, technical skills, and innovation come together to build solutions for real-world challenges.

Don’t just think about AI. Build with AI.

Don’t just create a project. Create an impact.

Don’t just follow technology. Shape the future.

What awaits you?

AI-powered problem solving

Innovative ideas & solutions

Hands-on technology experience

Team collaboration & competition

A platform to showcase your AI skills

THINK AI. BUILD SMART. INNOVATE BEYOND LIMITS.

SPOTS ARE OPEN — SECURE YOUR TEAM’S PLACE NOW!

DATE: 18/09/2026

TIME: 8:00 A.M. – 4:30 P.M.

VENUE: Auditorium

TEAM SIZE: 2–4 Members

For more details check out!

https://ai-innovathon.vercel.app/

Warm Regards,

Team AI-INNOVATHON","AI-Innovathon

An Inter-College 7-Hour Hackathon

Two Tracks:

💻 Software Track

🔧 Hardware Track",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/1116-ai-innovathon-2026-jerusalem-college-engineering-hackathon-chennai
Engineering Confluence 2026,Karpagam Academy of Higher Education,Upcoming,"Coimbatore, Tamil Nadu",Offline,2026-09-18,N/A,2026-09-14,N/A,N/A,"cash prize worth ₹1,00,000, the event offers a platform to showcase creativity, problem-solving, and innovation while connecting young minds with opportunities to create lasting social impact.",100000.0,INR,"National Level Ideathon, CSE, AIDS, ECE, IT, EEE, Mechanical, Agricultural, Medical, Pharmacy, Industrial, BioTechnology, BioMedical, Food, IDEATHON, PROJECT EXPO",https://www.knowafest.com/explore/events/2026/09/1205-engineering-confluence-karpagam-academy-higher-education-national-level-ideathon-coimbatore,knowafest.com,2026-09-14T15:02:11Z,14,Engineering Confluence 2026,Karpagam Academy of Higher Education,Coimbatore,Tamil Nadu,India,18th September 2026,National Level Ideathon,"CSE, AIDS, ECE, IT, EEE, Mechanical, Agricultural, Medical, Pharmacy, Industrial, BioTechnology, BioMedical, Food","PER HEAD - ₹200

PER TEAM MINIMUM TWO OR MAXIMUM THREE CAN PARTICIPATE

FOOD AND REFRESHMENTS WILL WE BE PROVIDED",https://forms.gle/Fx2j6fTDgFoEQ9Bh9,http://www.kahedu.edu.in/,N/A,aadilahamed558@gmail.com,"AADIL AHAMED R - 9894138060

ALWIN K PAUL - 7548800990","Karpagam Academy of Higher Education (KAHE) (Deemed to be University Established Under Section 3 of UCG Act, 1956) Coimbatore - 641 021, Tamil Nadu","Engineering Confluence 2026 is a national-level ideathon organized by the Faculty of Engineering, Karpagam Academy of Higher Education, on 18 September 2026. Inspired by the legacy of Bharat Ratna Sir M. Visvesvaraya, the event brings together engineering students, innovators, and startups to turn practical ideas into solutions. Participants can work on real-world challenges focused on innovative solutions for Coimbatore, smart infrastructure and urban development, and smart healthcare, digital networks, and sustainable living. With a cash prize worth ₹1,00,000, the event offers a platform to showcase creativity, problem-solving, and innovation while connecting young minds with opportunities to create lasting social impact.","--IDEATHON

--PROJECT EXPO",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/1205-engineering-confluence-karpagam-academy-higher-education-national-level-ideathon-coimbatore
CREATE 2026,SNS College of Technology,Upcoming,"Coimbatore, Tamil Nadu",Offline,2026-09-18,N/A,2026-09-18,N/A,N/A,N/A,N/A,N/A,"Technical Symposium, CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, Civil, Chemical, Agricultural, Energy, Metallurgy, Medical, Pharmacy, Arts, Industrial, BioTechnology, MBA, MCA, Commerce, Law, Telecommunication, Physics, Ocean, BioMedical, Mechanics, Textile, Aeronautical, Aerospace, Material, Mining, Automobile, Design, Marine, Fashion, Media, BBA, Food, PolyTechnic, School",https://www.knowafest.com/explore/events/2026/09/1227-create-2026-sns-college-technology-technical-symposium-coimbatore,knowafest.com,2026-09-14T15:02:11Z,15,CREATE 2026,SNS College of Technology,Coimbatore,Tamil Nadu,India,18th September 2026,Technical Symposium,"CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, Civil, Chemical, Agricultural, Energy, Metallurgy, Medical, Pharmacy, Arts, Industrial, BioTechnology, MBA, MCA, Commerce, Law, Telecommunication, Physics, Ocean, BioMedical, Mechanics, Textile, Aeronautical, Aerospace, Material, Mining, Automobile, Design, Marine, Fashion, Media, BBA, Food, PolyTechnic, School",249/-Per Head,https://bit.ly/CREATE-2026,https://bit.ly/CREATE-2026,"https://res.cloudinary.com/dtz0urit6/image/upload/q_auto:best,f_jpg/cloudinary-tools-uploads/edajaxjqkgkzum9ib9hy",harivishnu1045@gmail.com,"Hari Vishnu - 9677971037

Ashiq - 82200 99573

Mohamed Adhil - 84283 20842","SNS Kalvi Nagar, Sathy Main Road (NH-209), Vazhiyampalayam, Saravanampatti Post, Coimbatore - 641 035, Tamil Nadu","CREATE-2026 – Creative Robotics & Engineering Applications through Technology & Exploration is a one-day Robotics Workshop and Innovation Pitch Challenge organized by the Department of Mechanical Engineering, SNS College of Technology. The event focuses on hands-on robotics learning, technology exploration, innovative problem-solving, and pitching creative engineering solutions under the theme “CHAOS to CLARITY – Transforming Complex Problems into Creative Solutions.” The event is open to B.E./B.Tech and Diploma students from all departments.","Robotics Workshop

Practical Robotics Demonstrations

Innovation Pitch Challenge

Technology Exploration

Idea Development & Solution Pitching

Best Innovation Pitch – Cash Prize",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/1227-create-2026-sns-college-technology-technical-symposium-coimbatore
Mirai'26,Kongu Engineering College,Upcoming,"Erode, Tamil Nadu",Offline,2026-09-19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"National Level Technical Symposium, CSE, ECE, IT, EEE, Instrumentation, Mechanical, Industrial, Telecommunication, Mechanics, Aerospace, Automobile",https://www.knowafest.com/explore/events/2026/08/1801-mirai-26-kongu-engineering-college-national-level-technical-symposium-erode,knowafest.com,2026-09-14T15:02:12Z,16,Mirai'26,Kongu Engineering College,Erode,Tamil Nadu,India,19th September 2026,National Level Technical Symposium,"CSE, ECE, IT, EEE, Instrumentation, Mechanical, Industrial, Telecommunication, Mechanics, Aerospace, Automobile",Visit Website,https://mirai2k26.netlify.app/,https://mirai2k26.netlify.app/,N/A,isfece.kongu@gmail.com,"Ms L Iniya +91 94868 93270

Mr P Kishore +91 93425 44056","Perundurai, Erode-638 052, Tamilnadu, India","MIRAI'26 is the flagship National Level Technical Symposium organized by the IETE Student Forum, in association with the Department of Electronics and Communication Engineering, Kongu Engineering College. Designed to foster innovation, technical excellence, and collaborative learning, the symposium brings together aspiring engineers, innovators, and technology enthusiasts from institutions across India for a day of competitive and experiential learning.

The symposium features a diverse lineup of events, including Paper Presentation, Project Expo, Hackathon, Line Follower, Drone Race, HackSprint, and Technical Workshops, providing participants with opportunities to showcase their ideas, solve real-world challenges, and demonstrate practical engineering skills.

Beyond competition, MIRAI'26 serves as a platform for knowledge exchange, creativity, and professional networking, encouraging participants to transform innovative concepts into impactful solutions. Guided by the theme, ""The Future Belongs to Those Who Build It,"" the symposium reflects IETE's commitment to nurturing the next generation of engineers and technology leaders.

Join us on 19 September 2026 at Maharaja Auditorium, Kongu Engineering College, and be part of an experience that celebrates innovation, inspires excellence, and creates lasting impact.","Paper Presentation

Project Expo

Hackathon

Line Follower

Drone Race

HackSprint

Technical Workshop",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/08/1801-mirai-26-kongu-engineering-college-national-level-technical-symposium-erode
CASYUM'26,SRM Institute of Science and Technology Ramapuram Campus,Upcoming,"Chennai, Tamil Nadu",Offline,2026-09-19,N/A,2026-08-17,N/A,N/A,N/A,N/A,N/A,"National Level Technical Symposium, CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, Civil, Chemical, Agricultural, Energy, Medical, Pharmacy, Industrial, BioTechnology, MBA, MCA, Commerce, Law, Physics, BioMedical, Mechanics, Aeronautical, Aerospace, Automobile, Design, Fashion, Media, BBA",https://www.knowafest.com/explore/events/2026/09/0712-casyum-26-srm-institute-science-technology-ramapuram-campus-national-level-technical-symposium-chennai,knowafest.com,2026-09-14T15:02:12Z,17,CASYUM'26,SRM Institute of Science and Technology Ramapuram Campus,Chennai,Tamil Nadu,India,19th September 2026,National Level Technical Symposium,"CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, Civil, Chemical, Agricultural, Energy, Medical, Pharmacy, Industrial, BioTechnology, MBA, MCA, Commerce, Law, Physics, BioMedical, Mechanics, Aeronautical, Aerospace, Automobile, Design, Fashion, Media, BBA","Two Regular Events: ₹150 per participant

One Regular + One Gaming Event: ₹400 per participant

Free Fire: ₹250 per team

BGMI / PUBG: ₹250 per team",https://casyum2k26.vercel.app/,https://casyum2k26.vercel.app/,N/A,casyum2k26@gmail.com,"KIRAN BABU - 98407 44870

SRINIVASAN - 93605 48679

LOKESH - 87789 68570","Bharathi Salai, Ramapuram, Chennai - 600 089.","CASYUM 2026 is a vibrant intercollegiate fest that brings together students to showcase their technical skills, creativity, knowledge, teamwork, and competitive spirit through a diverse range of exciting events. Participants can take part in two events, with one event selected from each time slot, allowing them to participate in both without any time clash.","Paper Presentation

Adzap

IPL Auction

Hackathon

Free Fire

Short Film

Connexion

TechQuiz

Poster Designing

Debugging

BGMI / PUBG",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/0712-casyum-26-srm-institute-science-technology-ramapuram-campus-national-level-technical-symposium-chennai
RYVANTA 26,Jaya engineering college,Upcoming,"Chennai, Tamil Nadu",Offline,2026-09-19,N/A,N/A,3,3,"cash prizes, and an opportunity to compete at the national level, RYVANTA ’26 provides a platform for students to innovate, compete, collaborate, and transform ideas into technology-driven solutions.",26.0,N/A,"National-Level Tech Innovation Challenge, IT",https://www.knowafest.com/explore/events/2026/09/0814-ryvanta-26-jaya-engineering-college-national-level-tech-innovation-challenge-chennai,knowafest.com,2026-09-14T15:02:13Z,18,RYVANTA 26,Jaya engineering college,Chennai,Tamil Nadu,India,19th September 2026,National-Level Tech Innovation Challenge,IT,300,https://ryvanta.vercel.app/,https://ryvanta.vercel.app/,N/A,rajikd007@gmail.com,Ph no: 9123593537,N/A,"RYVANTA ’26 is a National-Level Tech Innovation Challenge organized by the Department of Information Technology, Jaya Engineering College. The fest is designed to bring together passionate students, innovators, programmers, cybersecurity enthusiasts, and game developers to showcase their technical skills, creativity, and problem-solving abilities.

The event features three exciting tracks:

💻 Day Hackathon – MODULE / HACK.EXE: Build innovative solutions within a 5-hour straight coding challenge.

🛡️ Capture The Flag – MODULE / CTF.SYS: Test your cybersecurity skills by finding exploits, solving challenges, and securing the flag.

🎮 2D Game Creation – MODULE / GAME.DEV: Design, code, and develop a playable 2D game level.

With teams of 3 members, attractive cash prizes, and an opportunity to compete at the national level, RYVANTA ’26 provides a platform for students to innovate, compete, collaborate, and transform ideas into technology-driven solutions.

📅 Date: 19 September 2026

💰 Registration Fee: ₹100 per person

👥 Team Size: 3 members

🏆 Venue: Jaya Engineering College

🎯 Theme: Tech Innovation Challenge","1.Hackathon

2.capture the flag

3.2d game creation",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/0814-ryvanta-26-jaya-engineering-college-national-level-tech-innovation-challenge-chennai
Global Colloquium on intelligent Computing and innovation GCICI 2026,SRM Institute of Science and Technology Kattankulathur Campus,Upcoming,"Chennai, Tamil Nadu",Hybrid,2026-09-21,2026-09-25,N/A,N/A,N/A,N/A,N/A,N/A,"Colloquium, CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, Civil, Industrial, BioTechnology, MCA, BioMedical, Mechanics, Aeronautical, Aerospace, Automobile",https://www.knowafest.com/explore/events/2026/09/0423-global-colloquium-intelligent-computing-innovation-gcici-2026-srm-institute-science-technology-kattankulathur-campus-chennai,knowafest.com,2026-09-14T15:02:13Z,19,Global Colloquium on intelligent Computing and innovation GCICI 2026,SRM Institute of Science and Technology Kattankulathur Campus,Chennai,Tamil Nadu,India,21st - 25th September 2026,Colloquium,"CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, Civil, Industrial, BioTechnology, MCA, BioMedical, Mechanics, Aeronautical, Aerospace, Automobile","1. Studying Abroad

Students enrolled at international universities outside India- ₹2,000

2. International Students in India

Non-Indian students currently studying at institutions in India ₹1,000

3.Domestic Students

Indian students currently studying at institutions in India ₹1,000

4.Paper Presentation and Scopus Indexed Publication Track

Submit your unpublished original

work for review before 10/09/26.

https://ctechapps.net/gcici2026/

Fee (200 USD) is payable separately

after paper acceptance.

200 USD",https://shorturl.at/f2cPh,https://shorturl.at/f2cPh,N/A,gcici.2026@srmist.edu.in,"Email: gcici.2026@srmist.edu.in

Dr. C. N. Subalalitha – +91 90032 64357

Dr. K. R. Jansi – +91 96000 82712","SRM University, Kattankulathur","GCICI 2026 opens its doors to a truly global student community - whether you're studying abroad, you're an international

student in India, or you're an Indian student studying in India. Learn from international professors and industry leaders,

compete in the Hackathon, Project Expo, and Paper Presentation Track, and build a network that spans continents - all while

getting personalized mentorship to sharpen your ideas.","1.Hackathon:- Solve for the World, Tackle global challenges, with cutting-edge technologies

2.Project Expo:- Showcase Your Innovation, Present your research and innovative projects,

3. Poster Walk Ideas on Display:- An interactive showcase through engaging poster displays

4.Paper Presentation Publish on a Global Stage:- Present and publish your research paper in scopus indexed publication",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/0423-global-colloquium-intelligent-computing-innovation-gcici-2026-srm-institute-science-technology-kattankulathur-campus-chennai
Hackathon 2k26,KLN College of Engineering,Upcoming,"Sivagangai, Tamil Nadu",Hybrid,2026-09-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"National Level Hackathon, CSE, AIDS, ECE, IT, EEE, Mechanical",https://www.knowafest.com/explore/events/2026/09/1010-hackathon-2k26-kln-college-engineering-national-level-sivagangai,knowafest.com,2026-09-14T15:02:14Z,20,Hackathon 2k26,KLN College of Engineering,Sivagangai,Tamil Nadu,India,21st September 2026,National Level Hackathon,"CSE, AIDS, ECE, IT, EEE, Mechanical",N/A,https://forms.gle/nDbPcY2LTENfXFhC8,https://hackathon2k26.netlify.app/,N/A,hackathoncse2k26@gmail.com,"Student Coordinators:

Mr. C. Inbasekaran — +91 76649 96450

Mr. M. Rajeshwaran — +91 80564 93189

Mr. P. Sanjay Harish — +91 80807 43194",N/A,"Event Description

Build, Innovate & Showcase is a software development event focused on transforming ideas and real-world challenges into viable, feasible, and functional Minimum Viable Products (MVPs).

For offline participants, problem statements will be provided during the event. Participants must analyze the given problem, develop an innovative solution, and build a working MVP within the allotted time. The evaluation will focus on functionality, innovation, feasibility, user experience, problem-solving approach, and real-world applicability.

For online participants, no problem statements will be provided. Participants can present and showcase their own software projects, demonstrating the project's purpose, key features, functionality, technical implementation, and potential impact.

The event is an opportunity for participants to think creatively, build practical solutions, demonstrate their technical skills, and showcase innovative software projects.

Turn ideas into solutions. Build. Demonstrate. Innovate.",hackathon,Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/1010-hackathon-2k26-kln-college-engineering-national-level-sivagangai
ForgeX AI 2026,Erode Sengunthar Engineering College,Upcoming,"Erode, Tamil Nadu",Offline,2026-09-22,2026-09-23,N/A,2,4,"Prize pool - Cash Prize and internship opportunities, the event encourages students to compete, learn, network, and build solutions that can create meaningful social and technological impact.",N/A,N/A,"National Level Hackathon, CSE, AIDS, ECE, IT, EEE, Mechanical, Industrial, Textile, Automobile",https://www.knowafest.com/explore/events/2026/08/2805-forgex-ai-erode-sengunthar-engineering-college-national-level-hackathon,knowafest.com,2026-09-14T15:02:15Z,21,ForgeX AI 2026,Erode Sengunthar Engineering College,Erode,Tamil Nadu,India,22nd - 23rd September 2026,National Level Hackathon,"CSE, AIDS, ECE, IT, EEE, Mechanical, Industrial, Textile, Automobile",250 per participant,https://docs.google.com/forms/d/e/1FAIpQLSehpskmHzvyjh7s4l_p9m8Vbt5C1gZffx1CbCJZnYZE0McELw/viewform?usp=publish-editor,https://forgex-ai-2026.netlify.app/,N/A,forgexaihackathon@gmail.com,"Vaishnavi K - 9384466370

Vimal Kumar - 6381778140

Yamuna devi - 8015023924","From Perundurai Bus stand, Erode","FORGEX AI 2026 is a National Level 24-Hour Hackathon organized by Erode Sengunthar Engineering College (Autonomous), designed to bring together innovative minds, aspiring developers, and technology enthusiasts to create impactful solutions for real-world challenges. The event provides participants with an exciting platform to transform ideas into working prototypes through creativity, collaboration, and technology.

The hackathon focuses on four dynamic domains: Generative AI & Artificial Intelligence, Machine Learning, Cloud Computing, and Web & App Development. Participants can work in teams of 2–4 members and leverage modern technologies, open-source tools, APIs, and AI platforms to develop innovative solutions within 24 hours.

FORGEX AI 2026 emphasizes innovation, technical excellence, problem relevance, scalability, user experience, and practical implementation. Teams will present and demonstrate their prototypes before a panel of judges, providing an opportunity to showcase their technical skills and problem-solving abilities.

Prize pool - Cash Prize and internship opportunities, the event encourages students to compete, learn, network, and build solutions that can create meaningful social and technological impact.

FORGEX AI 2026 is more than a competition—it is a platform to innovate, collaborate, experiment, and shape the technologies of tomorrow.",24-Hours National Level Hackathon,Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/08/2805-forgex-ai-erode-sengunthar-engineering-college-national-level-hackathon
WHIZZHACK'26,Erode Sengunthar Engineering College,Upcoming,"Erode, Tamil Nadu",Offline,2026-09-22,2026-09-23,N/A,3,5,"prize pool of ₹50,000, along with exciting rewards and learning opportunities.",50000.0,INR,"National Level Mega Tech Hackathon, CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, Civil, Chemical, Agricultural, Energy, Metallurgy, Pharmacy, Arts, Industrial, BioTechnology, MCA, Commerce, Telecommunication, BioMedical, Mechanics, Textile, Aeronautical, Aerospace, Material, Automobile, Design, Fashion, Media, Food, PolyTechnic",https://www.knowafest.com/explore/events/2026/09/0925-whizzhack-26-erode-sengunthar-engineering-college-national-level-mega-tech-hackathon,knowafest.com,2026-09-14T15:02:15Z,22,WHIZZHACK'26,Erode Sengunthar Engineering College,Erode,Tamil Nadu,India,22nd - 23rd September 2026,National Level Mega Tech Hackathon,"CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, Civil, Chemical, Agricultural, Energy, Metallurgy, Pharmacy, Arts, Industrial, BioTechnology, MCA, Commerce, Telecommunication, BioMedical, Mechanics, Textile, Aeronautical, Aerospace, Material, Automobile, Design, Fashion, Media, Food, PolyTechnic",PER HEAD ₹300 /- ONLY,https://wizzhack26.netlify.app/,https://wizzhack26.netlify.app/,N/A,whizzcomassociation@gmail.com,"Student Coordinators

Mr.Monesh.V , ECE - 9087150440

Ms.Harinisha.K , ECE - 8428990483","PERUNDURAI - ESEC CAMPUS

College bus facility will be provided from Perundurai to ESEC Campus","WHIZZHACK’26 is a National Level Mega Tech Hackathon organized by the Whizzcom Students’ Association of the Department of 
Electronics
 and Communication Engineering, Erode Sengunthar Engineering College. The hackathon brings together innovative minds from Engineering, Arts & Science, and Polytechnic institutions to develop creative Hardware and Software solutions for real-world challenges. The event provides participants with a platform to showcase their technical knowledge, creativity, problem-solving abilities, and teamwork through 12 hours of non-stop innovation and hacking. Participants will have the opportunity to work on challenging problem statements, develop innovative solutions, gain practical exposure, and collaborate with like-minded students. The event offers a total prize pool of ₹50,000, along with exciting rewards and learning opportunities.

Event Sponsors

Title Sponsor:

MAJESTRONICZ – Electronics Components Shop, serving Erode, Coimbatore and Chennai.

Official Internship & Eco System Partner

Vijay Technocraft, Coimbatore - Internsip, IT Solutions, hands-on training, mentorship from industry experts, and career-oriented guidance that prepares learners for real-world challenges.
SARA Controls & Automation, Coimbatore -  
industrial automation and electrical panel board manufacturing
Our Valued Sponsors:

BRITANNIA – One of India’s Leading Food & Bakery Brands

NEW TECHNOLOGY, COIMBATORE – Technical Training Provider

SILICON SYSTEM, COIMBATORE – Lab Equipments Suppliers & Trainer

MAJESTRONICZ Electronics Stall

MAJESTRONICZ will also set up an Electronics Components Stall at the event, providing participants with convenient access to electronic components, sensors, modules, development boards, project materials, accessories, and other electronics-related products required for their projects during the hackathon.

Special Internship Opportunity

The Hackathon Winning Team and Best Performance Team will receive a Internship Opportunity at Vijay Technocraft & SARA Controls and Automation, Coimbatore. The internship will provide participants with opportunities for industry exposure, practical experience, and hands-on learning in relevant technology.

Event Details

Date: September 22–23, 2026

Time: 7:00 PM – 7:00 AM

Venue: ESEC Convention Centre, Erode Sengunthar Engineering College

Tracks: Hardware & Software

Team Size: 3–5 Members

Registration Fee: ₹300 per participant

Prize Pool: ₹50,000

Accommodation: Provided for participants

Refreshments: Provided

WHIZZHACK’26 – Build. Hack. Innovate. Win.","WHIZZHACK’26 features two technical tracks:

⚡ Hardware Track – Participants will work on hardware-based problem statements and are required to bring the necessary electronic components and project materials. If participants do not have the required components, MAJESTRONICZ Electronics Components Stall will be available at the venue, where they can purchase the required components and materials.

💻 Software Track – Participants will develop their solutions from scratch based on the given problem statements, showcasing their programming, development, innovation, and problem-solving skills.

📌 Problem Statements: The problem statements for both Hardware and Software tracks will be available on the event website. Participants can click “Register Now” on the website to view the problem statements and choose their preferred track.

Choose your track. Build your solution. Hack the challenge. 🚀",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/0925-whizzhack-26-erode-sengunthar-engineering-college-national-level-mega-tech-hackathon
