title,organizer,status,location,event_mode,start_date,end_date,registration_deadline,team_size_min,team_size_max,prize,prize_amount,currency,tags,source_url,source_website,scraped_at,url,section,type,modality,timeline,themes,participants,cover_image,cta_action,external_links,badges,runs_from,happening,applications_close,prize_pool,overview,sponsors,logo_url
HACKBIOS 2K26,,Open,"SSTC, Junwani, Chhattisgarh, India",Offline,2026-10-08,2026-10-09,2026-09-24,2,4,"$11,000",11000.0,USD,No Restrictions,https://hackbios2k26.devfolio.co/,hackbios2k26.devfolio.co,2026-09-14T13:27:19.595874+00:00,https://hackbios2k26.devfolio.co/,Open,Hackathon,Offline,Starts 09/10/26,No Restrictions,+250 participating,,Apply now,"{""website"": ""https://www.hackbios.xyz/"", ""discord"": ""https://discord.com/invite/kDpNBsU3qt""}","Offline, Open, Starts 09/10/26","Oct 9 - 10, 2026","Junwani, India",Apply now,"$11,000","HackBIOS 2k26 is a national-level hackathon bringing together the brightest young innovators, developers, and tech enthusiasts from across the country to solve real-world problems through technology.

*Our previous edition saw 350+ attendees come together for an incredible offline experience ,  a remarkable success that left a lasting impression on all who attended.*

**This year, HackBIOS 2k26 will be conducted in two rounds:**

Round 1 — Online Selection

 - Submit a PPT based on your idea/solution
- Choose from the following tracks: Healthcare, Web3/Blockchain, Web Development, Cybersecurity, AI/ML, FinTech, EdTech, and Open Innovation
- 📄 Only the provided PPT template will be accepted — submissions in any other format will not be considered
- 📄 ppt link - [https://drive.google.com/file/d/1xagMiVaa8v-QAU_-ByFGgzw45WfrpBKP/view?usp=drivesdk](https://drive.google.com/file/d/1xagMiVaa8v-QAU_-ByFGgzw45WfrpBKP/view?usp=drivesdk)

Round 2 — Offline Hackathon (24 Hrs)

- Shortlisted teams build & present a working prototype onsite 

**📁 A detailed guide and demo video are available to help you prepare — [https://drive.google.com/drive/folders/1sz2XH2rJgvy8TrmQ468ALh2hkZBq9b9s?usp=sharing](https://drive.google.com/drive/folders/1sz2XH2rJgvy8TrmQ468ALh2hkZBq9b9s?usp=sharing)**

 Why HackBIOS?
*More than a competition, HackBIOS is a hub of innovation, collaboration, and talent development  encouraging young minds to explore technology, engage with the latest innovations, and connect with vibrant tech communities.*
**Website link - ** [https://www.hackbios.xyz/](https://www.hackbios.xyz/)
📢**Join our Discord:** [https://discord.com/invite/kDpNBsU3qt](https://discord.com/invite/kDpNBsU3qt)
**Follow the HackBIOS 2K26 channel on WhatsApp:** [https://whatsapp.com/channel/0029VbC7IecJENxtS3ob6G0v](https://whatsapp.com/channel/0029VbC7IecJENxtS3ob6G0v)","Devfolio, GitHub, ElevenLabs, QuillBot, .xyz",https://assets.devfolio.co/hackathons/d1b100bab969429eb9bd286cfac13f52/assets/favicon/191.png
HACK WITH GDG S4,,Open,"K S R College of Engineering, KSR Kalvi Nagar, Tamil Nadu, India",Offline,2026-10-08,2026-10-10,2026-09-25,1,4,,0.0,USD,No Restrictions,https://hack-with-gdg-s4.devfolio.co/,hack-with-gdg-s4.devfolio.co,2026-09-14T13:27:20.853142+00:00,https://hack-with-gdg-s4.devfolio.co/,Open,Hackathon,Offline,Starts 08/10/26,No Restrictions,+250 participating,,Apply now,"{""website"": ""https://hack-with-gdg-s4.vercel.app/"", ""x_twitter"": ""https://x.com/gdgksrce""}","Offline, Open, Starts 08/10/26","Oct 8 - 10, 2026","KSR Kalvi Nagar, India",Apply now,,"## **Hack With GDG S4**
**36 Hours of Innovation, Building, and Impact!**

Welcome to the fourth season of **Hack With GDG**, a high-energy hackathon hosted by **Google Developer Groups - KSR College of Engineering (GDG KSRCE)**. After three massive seasons, we are back to push the boundaries of creativity and technology.

**Event Timeline**
**Round 1 (Ideation)**: Submit your project idea in PPT format.
**Deadline**: Sep 28, 2026
**Round 2 (The Hack)**: 36-Hour Offline Hackathon.
**Dates**: Oct 8 - 10, 2026
**Venue**: KSR College of Engineering, Namakkal, Tamil Nadu.
**What’s Happening?**
**Round 1: Selection Phase**
Submit your vision. While a prototype is a plus, we are looking for strong problem-solving ideas. Top teams move to the grand finale.

**Round 2: 36-Hour Offline Grind**
This is where the magic happens. Build your full prototype on-site.

**Side Events**: Fun activities to keep the energy high.
**Mentorship**: Industry experts to guide your build.
**Networking**: Connect with fellow techies and developers.

**Rewards & Perks**
Cash Prizes for the top winning teams.
Participation Certificates for all attendees.

**Who Can Join?**
Whether you are a **Beginner** or a **Pro**, there is a place for you!

**Developers**: Build the future.
**Designers**: Create stunning UI/UX.
**Innovators**: Pitch unique solutions to real-world problems.
**Team Size**: 1 – 4 Members.
**Meals & Refreshments included for participants**
**Contact & Support**
Got questions? Reach out to us:

Email: gdgksrce@gmail.com
Instagram: [@gdg_ksrce](https://www.instagram.com/gdg_ksrce?igsi=YTBoZ3ZsNngxbXR5)",,https://assets.devfolio.co/hackathons/c163f2c5e7bb4c7bb7acbdb3c572bfa3/assets/favicon/108.jpeg
BOSS Battle,,Live,Online,Online,2026-09-06,2026-10-05,2026-09-28,1,3,"$3,000",3000.0,USD,No Restrictions,https://boss-battle.devfolio.co/,boss-battle.devfolio.co,2026-09-14T13:27:22.055535+00:00,https://boss-battle.devfolio.co/,Open,Hackathon,Online,,No Restrictions,+500 participating,,Apply now,"{""website"": ""https://bitshala.org"", ""x_twitter"": ""https://x.com/bitshala_org/""}","Online, Open, Live","Sep 7 - Oct 5, 2026",Online,Apply now,"$3,000","## About BOSS Battle

Bitshala builds and teaches Bitcoin Open Source Software — that's the ""BOSS"" in our name, and also the joke behind this one. Between cohort-based learning on Bitcoin's protocol and privacy stack, and the invite-only BOSS Summit that gathers India's sharpest Bitcoin OSS builders twice a year, we've mostly kept things small and deep. BOSS Battle flips that: it's virtual, it's open, and it's a hackathon instead of a summit.

Three boss fights this round:

- **Privacy** — build tools that make Bitcoin harder to surveil and easier to use without leaking who you are.
- **Nostr** — build on the protocol rewriting what censorship-resistant identity and communication look like.
- **AI** — bring AI into the Bitcoin/Nostr stack: agents, tooling, automation — whatever pushes it forward.

You don't need a GitHub history full of BIPs to show up. Beginners get workshops, mentors, and a community that answers questions instead of gatekeeping them. Experienced builders get a chance to finally prototype the thing they've been meaning to build, surrounded by people who actually get it.

No stage, no suits — just your terminal and three boss fights between you and the leaderboard.

**Ship code. Beat the boss.**",Bitshala,https://assets.devfolio.co/hackathons/ccf87307485e40fa8eed85cc9e9791a2/assets/favicon/714.png
CodeStorm 2026: FutureForge,,Live,Online,Online,2026-07-31,2026-09-30,2026-09-29,1,6,,0.0,USD,"Design, AI, Future Mobility",https://codestorm-futureforge.devfolio.co/,codestorm-futureforge.devfolio.co,2026-09-14T13:27:23.302271+00:00,https://codestorm-futureforge.devfolio.co/,Open,Hackathon,Online,,"Design, AI, Future Mobility",+1000 participating,,Apply now,"{""website"": ""https://code-storm-hackathon.pages.dev/"", ""x_twitter"": ""https://x.com/TeamCodeStorm""}","Online, Open, Live","Aug 1 - Sep 30, 2026",Online,Apply now,,"# **CodeStorm 2026: FutureForge**

## **Build the Future. Shape the Impossible.**

CodeStorm 2026: FutureForge is a student-focused innovation hackathon where developers, designers, creators, and problem-solvers come together to build impactful solutions using technology.

Unlike traditional hackathons that focus on a single domain, FutureForge embraces **Open Innovation**, allowing participants to tackle real-world challenges across any field they are passionate about. Whether it's Artificial Intelligence, Web Development, Cybersecurity, Education Technology, Sustainability, Productivity Tools, Mobile Applications, or something entirely unique, this is your platform to innovate.

This hackathon is part of the **CodeStorm 2026 Series**, an initiative dedicated to empowering students through hands-on learning, collaboration, and innovation.

The event will be conducted completely online through our Discord community. Participation is free, and teams may consist of **1–6 members**.

Participants are encouraged to think boldly, experiment fearlessly, and build projects that create meaningful impact while showcasing technical excellence and creativity.

## **What Can You Build?**

Participants are encouraged to develop:

* Artificial Intelligence solutions
* Web applications and platforms
* Mobile applications
* Cybersecurity tools
* Productivity and automation software
* Educational technology solutions
* Sustainability and social impact projects
* Games and interactive experiences
* Open-source projects
* Any innovative idea that solves a real-world problem

## **Why Participate?**

* Build real-world projects
* Learn and apply emerging technologies
* Collaborate with talented students
* Showcase your skills to a wider audience
* Receive certificates and recognition
* Win exciting rewards and prizes
* Join a growing community of innovators

## **Guidelines**

* Follow the Code of Conduct.
* Team size: **1–6 members**.
* Projects must be developed during the hackathon period.
* Open-source libraries, frameworks, and APIs may be used.
* Submissions must include a working prototype, demo, or showcase.
* Participants must submit all required materials before the deadline.

## **Important Links**

### Join Our Official Discord Server

https://discord.com/invite/a3mE9SMCqb

### Follow Us On Instagram

https://www.instagram.com/code_storm_hackathon/

### Official Website

https://code-storm-hackathon.pages.dev

## **Community**

CodeStorm is a student-led initiative dedicated to creating opportunities for young innovators, builders, and creators across India.

### **Team CodeStorm ⚡**

**Empowering India's Next Generation of Innovators**

# Join Our Discord Server For Official Announcements, Results, Winner Updates, and Certificate Distribution

https://discord.com/invite/a3mE9SMCqb","Codivonix Community, BulidNest, Modisconto",https://assets.devfolio.co/hackathons/69bc320cd0ff44f4bf84e9facd534485/assets/favicon/762.png
HackTopus'FE,,Open,"GLA University, Bharthia, Mathura, Uttar Pradesh, India",Offline,2026-10-14,2026-10-16,2026-09-29,2,4,$845,845.0,USD,No Restrictions,https://hacktopusgdg.devfolio.co/,hacktopusgdg.devfolio.co,2026-09-14T13:27:26.823112+00:00,https://hacktopusgdg.devfolio.co/,Open,Hackathon,Offline,Starts 14/10/26,No Restrictions,+100 participating,,Apply now,"{""website"": ""https://hacktopus.cc"", ""x_twitter"": ""https://x.com/GdgGlau""}","Offline, Open, Starts 14/10/26","Oct 14 - 16, 2026","Bharthia, India",Apply now,$845,"HACKTOPUS is a premier 48-hour in-person hackathon organised by GDG On Campus GLA University. It brings together 600+ developers, designers, AI enthusiasts, and startup founders at GLA University, Mathura to build real projects from scratch.
WHY HACKTOPUS?
To give students and creators a high-energy environment where they can build without limits — with mentors, workshops, food, accommodation, and prizes all included. No excuses, just building.",,https://assets.devfolio.co/hackathons/92471ffe6c0c4d7399ab14b31c4d75e0/assets/favicon/939.jpeg
HackInverse 1.0,,Open,"Kolkata, West Bengal, India",Offline,2026-10-10,2026-10-11,2026-09-30,1,4,,0.0,USD,No Restrictions,https://hackinverse-s1.devfolio.co/,hackinverse-s1.devfolio.co,2026-09-14T13:27:28.075542+00:00,https://hackinverse-s1.devfolio.co/,Open,Hackathon,Offline,Starts 10/10/26,No Restrictions,+1000 participating,,Apply now,"{""website"": ""https://www.hackinverse.tech/"", ""x_twitter"": ""https://x.com/HackInverse_in""}","Offline, Open, Starts 10/10/26","Oct 10 - 11, 2026","Kolkata, India",Apply now,,"Not everything worth discovering is right in front of you.

Some ideas exist just beyond the obvious, waiting to be noticed, explored, and brought to life. Hackinverse is a 24-hour hackathon for those who aren't afraid to chase the unexpected, question what's possible, and build what others can't yet see.

Step into an experience where curiosity drives every decision, creativity outpaces convention, and collaboration turns ambitious ideas into reality. Whether you're a developer, designer, or innovator, you'll spend the next 24 hours solving real problems, learning from mentors, pushing your limits, and creating something extraordinary alongside a community that shares your passion.

Expect late-night breakthroughs, endless brainstorming, caffeine-fueled conversations, exciting challenges, and moments you'll remember long after the final submission. After all, the most interesting things rarely happen in broad daylight.

Some signals are easy to miss, but the best builders never ignore them.

Welcome to Hackinverse.
Join our [WhatsApp](https://chat.whatsapp.com/DZFNMGtNxnm4PMqraUHXnY?s=sw&p=a&ilr=4) Community","Devfolio, Miro, Devnovate, CodeCrafters, Mercy For Animals, Hacknest, OSEN",https://assets.devfolio.co/hackathons/6ecaa82827354b4cb56968d1c2b14faa/assets/favicon/22.png
Codeutsava X.0,,Open,"NIT Raipur, Great Eastern Road, Amanaka, Raipur, Chhattisgarh, India",Offline,2026-10-03,2026-10-04,2026-09-30,2,4,"$11,370",11370.0,USD,No Restrictions,https://codeutsava-x.devfolio.co/,codeutsava-x.devfolio.co,2026-09-14T13:27:29.353421+00:00,https://codeutsava-x.devfolio.co/,Open,Hackathon,Offline,Starts 03/10/26,No Restrictions,+500 participating,,Apply now,"{""website"": ""https://codeutsava.nitrr.ac.in/"", ""facebook"": ""https://www.facebook.com/codeutsava/""}","Offline, Open, Starts 03/10/26","Oct 3 - 4, 2026","Raipur, India",Apply now,"$11,370","**CODEUTSAVA** isn’t just an event—it’s a **magnificent celebration of code**! Hosted annually by the esteemed **Turing Club of Programmers**, it acts as a **magnet** for **coding enthusiasts** from **across the nation**. With a mission to **ignite a vibrant coding culture** in the student community, **CodeUtsava** unleashes an **electrifying lineup**: immersive **workshops**, neuro-igniting **hackathons**, mind-bending **coding competitions**, epic **gaming battles**, and enlightening **mic sessions**—**we’ve got it all (and more)!**

And no, we don’t say **“Pack Up!!”** there. **CodeUtsava** goes **beyond the screen**, unlocking the **boundless potential** of students to tackle **real-world problems** of **public interest**. Join this extravaganza of **algorithms**, **creativity**, and **camaraderie**—and let’s **script a brighter future together**!

For queries, connect with us on **[Discord](https://discord.gg/sxfvDKhEgQ)**.",ElevenLabs,https://assets.devfolio.co/hackathons/4d5b894df7164d34ae411f4b9c2d996c/assets/favicon/881.jpeg
Hefty-Hacks,,Open,Online,Online,2026-10-23,2026-10-31,2026-09-30,2,6,"₹75,000 prize pool",775.0,USD,"Blockchain, FinTech",https://hefty-hacks.devfolio.co/,hefty-hacks.devfolio.co,2026-09-14T13:27:30.637798+00:00,https://hefty-hacks.devfolio.co/,Open,Hackathon,Online,Starts 24/10/26,"Blockchain, FinTech",+1000 participating,,Apply now,"{""website"": ""https://hefty-hacks.tech"", ""discord"": ""https://discord.gg/8H754X4fJM""}","Online, Open, Starts 24/10/26","Oct 24 - 1, 2026",Online,Apply now,"₹75,000 prize pool","# ⚡ Hefty Hacks

**Hefty Hacks** is a fully-online **Finance × Trading** hackathon presented by **TechZap**. Over one intense sprint, engineers, quants and designers turn market chaos into working product — trading systems, market predictors, fintech, risk engines, DeFi and everything in between.

Pick a niche. Go absurdly deep. Ship something the street hasn't seen yet.

> 🌟 **Exclusive Career Opportunity**: The **Top 10 teams** will get a chance to participate in direct hiring rounds with leading companies and fast-growing startups. 
> 
> *(Selection for interviews and hiring is solely at the discretion of the participating companies and subject to their individual eligibility criteria and recruitment policies.)*

> **Finance. Trading. Innovation.** — one laptop, a thesis worth defending, and 36 hours to prove it.

---

## 🚀 What is Hefty Hacks?

The markets never sleep, and neither do great builders. Hefty Hacks challenges you to build at the intersection of **finance and trading** — from high-frequency execution engines to market predictors, robo-advisors, fraud radars and on-chain quant tooling.

There's one rule that decides winners: **go narrow.** Anyone can build ""a trading app."" The teams that win pick a niche so specific it sounds obsessive — then own it.

- 🌐 **100% Online** — hack from anywhere in the world
- 👥 **Teams of 2–6** — no solo entries; finance is a team sport
- 🗓️ **Final Hack Day: 31 Oct – 1 Nov** — a 36-hour build sprint
- 🏆 **₹75,000 prize pool** + free Azure credits + elite mentorship

---

## 🎯 Tracks

Build on either track — or fuse them into something nobody has shipped yet.

### 01 · Finance
Reinvent how money moves, grows and stays safe — on-chain or off.
- Payments, lending & neo-banking
- Personal finance & wealth autopilot
- Fraud, AML & risk intelligence
- Insurance, credit scoring & RegTech
- **Decentralized finance (DeFi)** — on-chain lending, tokenization & protocols

### 02 · Trading
Turn market microstructure into a working edge.
- Algo, HFT & execution engines
- Futures, options & derivatives tooling
- Market prediction & alt-data signals
- Backtesting & portfolio optimization

### 03 · Fusion *(the boldest bets score highest)*
Combine both tracks into something genuinely unique.
- Sentiment-to-signal fintech apps
- On-chain quant & DeFi execution
- Embedded trading inside consumer finance
- Your own uncharted crossover

---

## 🤖 On Using AI

**Bring the idea. Let AI sharpen it.**

Generating your idea straight from an AI is **strongly discouraged** — judges can smell a generated pitch, and a borrowed thesis has no conviction behind it. Instead:

1. Pick a niche narrow enough to defend in one sentence.
2. Write your **own** thesis first — the bet nobody else is making.
3. Use AI to attack it: what breaks, what's been tried, what's missing.
4. Refine, prototype, and ship the version only your team could build.

**Your niche, AI's leverage.** Originality is the edge we score for.

---

## ⚖️ How We Judge

- **Originality of the niche** — how sharp and defensible is the bet?
- **Technical depth** — did you actually build the hard part?
- **Working demo** — does it run and hold up under questions?
- **Market insight** — do you understand the problem you're solving?

A sharp, unique idea executed well beats a broad idea half-built.

---

## 🛠️ Presented by TechZap

Hefty Hacks is built and run by **TechZap** — bringing builders together to disrupt finance.

**Build. Innovate. Disrupt.**
---

### Ready to trade sleep for signal? Register your team and code the markets. ⚡📈","Azure, Eventopia",https://assets.devfolio.co/hackathons/179b52290f954c6e88325551b1859d29/assets/favicon/349.png
HACKER HOUSE GOA 2026,,Open,"Goa, India",Offline,2026-10-28,2026-10-31,2026-09-30,1,3,"$50,000+ in bounties",0.0,USD,"Blockchain, AI",https://hacker-house-goa-2026.devfolio.co/,hacker-house-goa-2026.devfolio.co,2026-09-14T13:27:32.003492+00:00,https://hacker-house-goa-2026.devfolio.co/,Open,Hackathon,Offline,Starts 28/10/26,"Blockchain, AI",+50000 participating,,Apply now,"{""website"": ""https://hhgoa.com"", ""x_twitter"": ""https://x.com/247pmstudio?s=21""}","Offline, Open, Starts 28/10/26","Oct 28 - 31, 2026",India,Apply now,"$50,000+ in bounties","**Hacker House Goa 2026** is India's premier builder residency - where the best developers, designers, marketers, and AI-native creators don't just hack, they ship.

For 4 days at a private beach resort in Goa, 247 selected builders will live under one roof - building, scaling, launching, and marketing real products. 

Just focused building with mentors, VCs, and ecosystem leaders in the same building as you.


> Most hackathons give you 36 hours, a sleepless weekend, and a GitHub repo nobody opens on Monday. Hacker House Goa gives you 4 days to ship something real.


You can expect:

- 247 builders selected from 10,000+ registrations
- 4 days of structured building with daily product reviews
- 50+ speakers, mentors, and judges on-site
- $50,000+ in bounties
- VCs on the ground watching teams build in real time
- A public demo day with on-chain voting
- House of NGMI - India's first AIxCrypto creator house running in parallel

HHG 2024 brought 6,800+ registrations, 390+ hackers, and 100 projects - several of which went on to receive ecosystem funding, ship on mainnet, and gain traction on new chains.

**In 2026, we go bigger. AI × Crypto. Multichain. Goa.**

Powered by 2:47PM Studio - APAC & MENA's premier Web3 Ecosystem Growth and Venture Studio.",,https://assets.devfolio.co/hackathons/6b8701ece63444619285ea50db89a8bc/assets/favicon/730.png
Grand Innovation Challenge,,Open,"Priyadarshini College of Engineering, Hingna Road, Digdoh Hills, Digdoh, Maharashtra, India",Offline,2026-10-03,2026-10-03,2026-09-30,1,5,,0.0,USD,No Restrictions,https://grand-innovation-challenge.devfolio.co/,grand-innovation-challenge.devfolio.co,2026-09-14T13:27:33.313224+00:00,https://grand-innovation-challenge.devfolio.co/,Open,Hackathon,Offline,Starts 03/10/26,No Restrictions,,,Apply now,{},"Offline, Open, Starts 03/10/26","Oct 3, 2026","Digdoh, India",Apply now,,Great Hackathon organised by PCE,,https://assets.devfolio.co/hackathons/8e2ad878ddd242cdac991a4c7a06af54/assets/favicon/769.jpeg
Metamorph 2.0,,Ended,"Guru Nanak Institute of Technology, Nilgunj Road, Sahid Colony, Panihati, West Bengal, India",Offline,2026-09-12,2026-09-13,2026-09-12,2,4,"We’ve put together a total prize pool of ₹1,00,000. Along with the main overall prizes, we have a dedicated Hardware Track for those who like building physical projects.",1100.0,USD,"Blockchain, AI, Hardware",https://metamorph-2.devfolio.co/,metamorph-2.devfolio.co,2026-09-14T13:27:34.605552+00:00,https://metamorph-2.devfolio.co/,Past,Hackathon,Offline,,"Blockchain, AI, Hardware",+1000 participated,,See projects,"{""website"": ""https://www.metamorph.cloud/"", ""x_twitter"": ""https://x.com/MetaMorph__In""}","Offline, Ended","Sep 12 - 13, 2026","Panihati, India",Hackathon has ended,"We’ve put together a total prize pool of ₹1,00,000. Along with the main overall prizes, we have a dedicated Hardware Track for those who like building physical projects.","Welcome to Metamorph 2.0
Hey everyone! Welcome to Metamorph 2.0, an in-person hackathon hosted at the Guru Nanak Institute of Technology (GNIT) in Panihati.

We’re bringing together students for a weekend of coding, hardware building, and hanging out with other creators. It doesn't matter if you're a seasoned developer, a hardware tinkerer, or if this is your very first hackathon—there is a place for you here. We’re covering all the essentials (food, Wi-Fi, workspace, and some cool swag), so you can just focus on building something awesome.

🏆 Prizes & Categories
We’ve put together a total prize pool of ₹1,00,000. Along with the main overall prizes, we have a dedicated Hardware Track for those who like building physical projects.

We also really want to encourage new faces in the tech community to build with us, so we have special prize categories reserved specifically for the Best Beginner Project and the Best All-Girls Team.

📌 The Details
When: September 12th - 13th, 2026

Where: Guru Nanak Institute of Technology (GNIT), Panihati

Format: 100% Offline / In-person

Cost: Completely Free

🤝 Teams
You can participate with a team of up to 4 members, or just apply solo. If you're coming alone, don't worry—we’ll get you into our Discord server before the event so you can chat with other folks and form a team before the hacking even begins.

Applications close on September 3, 2026. We're reviewing applications on a rolling basis, so drop your application through Devfolio and we hope to see you on campus!",Trace Commons AI,https://assets.devfolio.co/hackathons/b126e3166e144db7b493d3b69351b2a8/assets/favicon/442.png
FusioniX2026,,Ended,Online,Online,2026-09-11,2026-09-12,2026-08-25,3,4,"🏆Prize Pool: ₹30,000+",524.0,USD,No Restrictions,https://fusionix-1.devfolio.co/,fusionix-1.devfolio.co,2026-09-14T13:27:36.030483+00:00,https://fusionix-1.devfolio.co/,Past,Hackathon,Online,,No Restrictions,+500 participated,,See projects,"{""website"": ""https://fusionix.uem.edu.in"", ""discord"": ""https://discord.com/channels/1533193069082710207/1533193070156185613""}","Online, Ended","Sep 11 - 12, 2026",Online,Hackathon has ended,"🏆Prize Pool: ₹30,000+","# **FusioniX 2026**
**Overview**

FusioniX 2026 is a 24-hour national-level hybrid Offline hackathon organized by the Department of Electronics & Communication Engineering and the Department of Computer Science & Engineering (IoT), University of Engineering and Management, Kolkata.

FusioniX focuses on solving real-world engineering challenges by combining hardware and software to build innovative, practical working prototypes.

Whether you're passionate about IoT, AI, Embedded Systems, Robotics, Full Stack, Cloud, Computer Vision, Smart Automation, Web3, or Agentic Commerce, FusioniX is your platform to build and innovate.

Please use this Template: [Download](https://www.canva.com/design/DAHSKhhyp4Y/wcuf7vO6wiiPgsLOQtCqPw/edit)
**🏆Prize Pool: ₹30,000+**

Win exciting prizes worth up to ₹50,000.

Along with prizes, participants get certificates, recognition, goodies & swags, networking opportunities with mentors and industry experts, and a chance to showcase their solutions.



**Team Size**

3–4 members per team

Registration is free.
Inter-college teams are allowed.




**Event**

Duration: 24 Hours
Round 1: Online
Final Hackathon (Rounds 2 & 3): Offline at UEM Kolkata


**Eligibility**

Open to students pursuing:

B.Tech / B.E.
M.Tech / M.E.
Engineering or Technology programs from recognized institutions

Students from any engineering specialization can participate.



**Tracks**
Sub Track 1 — x402-Powered Applications

Build applications powered by x402, exploring programmable payments, automated transactions, and digital commerce.

Sub Track 2 — Agentic Commerce Infrastructure

Build infrastructure enabling AI agents to discover, negotiate, transact, and operate autonomously in digital commerce.

Sub Track 3 — Developer Tooling & Frameworks

Create developer tools, SDKs, libraries, frameworks, APIs, or platforms that improve the software development experience.

Sub Track 4 — Biotech

Build technology-driven solutions at the intersection of biology and innovation. Explore AI, computational biology, bioinformatics, healthcare, agriculture, lab automation, and other applications that use technology to address real-world challenges in life sciences .

Sub Track 5 —  AI for Real-World Impact

Build innovative AI-powered solutions that address meaningful real-world problems. From education and sustainability to accessibility, finance, agriculture, cybersecurity, and smart communities, use AI to create practical solutions with measurable impact.

Sub Track 6 — Open Source

Build impactful open-source solutions that encourage collaboration, transparency, and community-driven development. Create tools, platforms, libraries, or applications that others can use, extend, and contribute to.


**Competition Format**
Round 1 — Concept Qualifier (Online)

Submit a minimum 5-slide Pitch Deck (PPT/PDF) covering:
PPt format: https://canva.link/uhjmqki7duf082q
Team Introduction
Problem Analysis
Proposed Solution
Hardware & Software Architecture
Technology Stack

Evaluation: Problem Understanding, Technical Feasibility, Innovation, and Clarity of Presentation.

⚠️ **Important**: The Round 1 idea is only for evaluation. Qualified teams will receive entirely new problem statements during the offline hackathon.

**Round 2 — Hybrid Build & Final Offline Round**

Teams will work on their complete solution by assembling hardware, developing software, designing the system architecture, integrating components, testing, debugging, and preparing a working prototype.

As this is a hybrid competition, teams may use hardware, software, or a combination of both according to their project requirements.

Participants should bring their own hardware whenever possible. Limited hardware support may be available.

Teams must complete and demonstrate their working solution during this round and submit the final source code, documentation, and required project deliverables before the deadline.

**🤖 AI Usage Policy**

AI tools such as ChatGPT, GitHub Copilot, Gemini, and Claude may be used for learning, brainstorming, debugging, documentation, and productivity.

However:

AI must not replace genuine problem-solving.
Blind copy-pasting without understanding is prohibited.
Primarily AI-generated or plagiarized projects will be disqualified.
Judges may ask technical questions to verify understanding.

Innovation and originality matter.


**📜 General Rules**
Major development must be done during the hackathon.
Teams must work independently.
Pre-built complete solutions are not allowed.
Bring your own laptops and hardware whenever possible.
Internet, workspace, power supply, meals, and accommodation (where applicable) will be provided.
Organizers may modify schedules if required.
Plagiarism or unfair means may lead to disqualification.
Judges' decisions will be final.


**🏅 Judging Criteria**

Projects will be evaluated on:

Innovation & Creativity • Technical Implementation • Functionality • Hardware–Software Integration • Market Potential • Scalability • Presentation & Demonstration • Teamwork


**🎁 What Participants Receive**
Participation Certificate
Prizes & Recognition
Goodies & Swags
Networking with mentors and industry experts
Opportunity to showcase innovative engineering solutions


**📞 Contact**

Abhiraj Saha – 6003150816
Debdip Ghosh – 9883923300
Shibangi Bose – 9474387252","Corsair, Algorand, Zynvo social, Miro Meetsup Kolkata",https://assets.devfolio.co/hackathons/8c8cd6dfae4a423b903e92d1c177ff7a/assets/favicon/137.png
Hackrit,,Ended,"Techno India University, EM Block, Sector V, Bidhannagar, Kolkata, West Bengal, India",Offline,2026-09-11,2026-09-12,2026-09-07,2,4,,0.0,USD,No Restrictions,https://hackrit2026.devfolio.co/,hackrit2026.devfolio.co,2026-09-14T13:27:37.521055+00:00,https://hackrit2026.devfolio.co/,Past,Hackathon,Offline,,No Restrictions,+1000 participated,,See projects,"{""discord"": ""https://discord.gg/24CqKfBr4""}","Offline, Ended","Sep 11 - 12, 2026","Kolkata, India",Hackathon has ended,,"Hackrit  is a 24-hour offline hackathon designed to bring together developers, designers, and problem-solvers to build practical solutions from scratch.

Organized as part of DEVX by **Google Developer Group on Campus Techno India University**, the hackathon focuses on real-world problem solving through rapid prototyping and collaborative development. Participants work in teams, explore ideas across multiple domains, and transform them into functional products within a constrained timeframe.

Hackrit emphasizes execution over theory. It encourages participants to think critically, experiment with technologies, and deliver solutions that are not only innovative but also implementable.

Whether you are refining an idea or building something entirely new, Hackrit provides an environment to learn, collaborate, and create meaningful impact through technology.",,https://assets.devfolio.co/hackathons/64767263c57d44529fcb18316f94b705/assets/favicon/254.jpeg
